Time 	Technique	cfu/9cm2	cfu_by_swabb_eff
0	C	65800	3963855.422
0	C	42100	2536144.578
0	C	31000	1867469.88
0	C	51200	3084337.349
0	C	21500	1295180.723
0	C	19000	1144578.313
0	C	38500	2319277.108
0	C	28900	1740963.855
0	C	61800	3722891.566
0	C	39500	2379518.072
0	DW	300	18072.28916
0	DW	700	42168.6747
0	DW	200	12048.19277
0	DW	100	6024.096386
0	DW	1000	60240.96386
0	DW	900	54216.86747
0	DW	300	18072.28916
0	DW	600	36144.57831
0	DW	1200	72289.15663
0	DW	3600	216867.4699
0	D	100	6024.096386
0	D	300	18072.28916
0	D	200	12048.19277
0	D	0	0
0	D	0	0
0	D	0	0
0	D	0	0
0	D	0	0
0	D	0	0
0	D	0	0
0	A	100	6024.096386
0	A	200	12048.19277
0	A	100	6024.096386
0	A	0	0
0	A	0	0
0	A	0	0
0	A	0	0
0	A	0	0
0	A	0	0
0	A	0	0
1	C	1000	60240.96386
1	C	1900	114457.8313
1	C	800	48192.77108
1	C	900	54216.86747
1	C	1200	72289.15663
1	C	2000	120481.9277
1	C	1000	60240.96386
1	C	1300	78313.25301
1	C	1400	84337.3494
1	C	1200	72289.15663
1	DW	400	24096.38554
1	DW	0	0
1	DW	0	0
1	DW	0	0
1	DW	0	0
1	DW	0	0
1	DW	0	0
1	DW	0	0
1	DW	0	0
1	DW	0	0
1	D	400	24096.38554
1	D	0	0
1	D	0	0
1	D	0	0
1	D	0	0
1	D	0	0
1	D	0	0
1	D	0	0
1	D	0	0
1	D	0	0
1	A	100	6024.096386
1	A	200	12048.19277
1	A	100	6024.096386
1	A	0	0
1	A	0	0
1	A	0	0
1	A	0	0
1	A	0	0
1	A	0	0
1	A	0	0
2	C	100	6024.096386
2	C	400	24096.38554
2	C	100	6024.096386
2	C	400	24096.38554
2	C	800	48192.77108
2	C	1900	114457.8313
2	C	2100	126506.0241
2	C	1500	90361.44578
2	C	0	0
2	C	0	0
2	DW	100	6024.096386
2	DW	0	0
2	DW	0	0
2	DW	0	0
2	DW	0	0
2	DW	0	0
2	DW	0	0
2	DW	0	0
2	DW	0	0
2	DW	0	0
2	D	0	0
2	D	0	0
2	D	0	0
2	D	0	0
2	D	0	0
2	D	0	0
2	D	0	0
2	D	0	0
2	D	0	0
2	D	0	0
2	A	0	0
2	A	0	0
2	A	0	0
2	A	0	0
2	A	0	0
2	A	0	0
2	A	0	0
2	A	0	0
2	A	0	0
2	A	0	0
4	C	100	6024.096386
4	C	400	24096.38554
4	C	0	0
4	C	0	0
4	C	0	0
4	C	0	0
4	C	0	0
4	C	0	0
4	C	0	0
4	C	0	0
4	DW	100	6024.096386
4	DW	0	0
4	DW	0	0
4	DW	0	0
4	DW	0	0
4	DW	0	0
4	DW	0	0
4	DW	0	0
4	DW	0	0
4	DW	0	0
4	D	0	0
4	D	0	0
4	D	0	0
4	D	0	0
4	D	0	0
4	D	0	0
4	D	0	0
4	D	0	0
4	D	0	0
4	D	0	0
4	A	0	0
4	A	0	0
4	A	0	0
4	A	0	0
4	A	0	0
4	A	0	0
4	A	0	0
4	A	0	0
4	A	0	0
4	A	0	0
24	C	0	0
24	C	0	0
24	C	0	0
24	C	0	0
24	C	0	0
24	C	0	0
24	C	0	0
24	C	0	0
24	C	0	0
24	C	0	0
24	DW	0	0
24	DW	0	0
24	DW	0	0
24	DW	0	0
24	DW	0	0
24	DW	0	0
24	DW	0	0
24	DW	0	0
24	DW	0	0
24	DW	0	0
24	D	0	0
24	D	0	0
24	D	0	0
24	D	0	0
24	D	0	0
24	D	0	0
24	D	0	0
24	D	0	0
24	D	0	0
24	D	0	0
24	A	0	0
24	A	0	0
24	A	0	0
24	A	0	0
24	A	0	0
24	A	0	0
24	A	0	0
24	A	0	0
24	A	0	0
24	A	0	0
